Node Failure (%),Message Overhead,Algorithms
10.0,2029.0,Plebi 0.9 prob topology
10.0,853.0,RAFT
10.0,259.0,Plebi 0.3 prob topology
10.0,1038.0,Plebi 0.5 prob topology
10.0,1189.0,Plebi 0.7 prob topology
10.0,2805.0,Plebi 0.9 prob topology
10.0,833.0,RAFT
20.0,402.0,Plebi 0.3 prob topology
20.0,503.0,Plebi 0.5 prob topology
20.0,801.0,Plebi 0.7 prob topology
20.0,1106.0,Plebi 0.9 prob topology
20.0,764.0,RAFT
20.0,280.0,Plebi 0.3 prob topology
20.0,558.0,Plebi 0.5 prob topology
20.0,1402.0,Plebi 0.7 prob topology
20.0,1505.0,Plebi 0.9 prob topology
20.0,753.0,RAFT
20.0,317.0,Plebi 0.3 prob topology
20.0,458.0,Plebi 0.5 prob topology
20.0,1165.0,Plebi 0.7 prob topology
20.0,1536.0,Plebi 0.9 prob topology
20.0,800.0,RAFT
20.0,391.0,Plebi 0.3 prob topology
20.0,638.0,Plebi 0.5 prob topology
20.0,821.0,Plebi 0.7 prob topology
20.0,1494.0,Plebi 0.9 prob topology
20.0,786.0,RAFT
20.0,644.0,Plebi 0.3 prob topology
20.0,1193.0,Plebi 0.5 prob topology
20.0,1216.0,Plebi 0.7 prob topology
20.0,1543.0,Plebi 0.9 prob topology
20.0,834.0,RAFT
20.0,132.0,Plebi 0.3 prob topology
20.0,522.0,Plebi 0.5 prob topology
20.0,2428.0,Plebi 0.7 prob topology
20.0,1904.0,Plebi 0.9 prob topology
20.0,836.0,RAFT
20.0,290.0,Plebi 0.3 prob topology
20.0,572.0,Plebi 0.5 prob topology
20.0,2006.0,Plebi 0.7 prob topology
20.0,2037.0,Plebi 0.9 prob topology
20.0,820.0,RAFT
20.0,217.0,Plebi 0.3 prob topology
20.0,707.0,Plebi 0.5 prob topology
20.0,2006.0,Plebi 0.7 prob topology
20.0,1630.0,Plebi 0.9 prob topology
20.0,830.0,RAFT
20.0,255.0,Plebi 0.3 prob topology
20.0,911.0,Plebi 0.5 prob topology
20.0,2066.0,Plebi 0.7 prob topology
20.0,1665.0,Plebi 0.9 prob topology
20.0,755.0,RAFT
20.0,170.0,Plebi 0.3 prob topology
20.0,605.0,Plebi 0.5 prob topology
20.0,2136.0,Plebi 0.7 prob topology
20.0,2353.0,Plebi 0.9 prob topology
20.0,802.0,RAFT
20.0,185.0,Plebi 0.3 prob topology
20.0,403.0,Plebi 0.5 prob topology
20.0,1784.0,Plebi 0.7 prob topology
20.0,1970.0,Plebi 0.9 prob topology
20.0,750.0,RAFT
20.0,215.0,Plebi 0.3 prob topology
20.0,605.0,Plebi 0.5 prob topology
20.0,1708.0,Plebi 0.7 prob topology
20.0,2199.0,Plebi 0.9 prob topology
20.0,754.0,RAFT
20.0,239.0,Plebi 0.3 prob topology
20.0,662.0,Plebi 0.5 prob topology
20.0,3211.0,Plebi 0.7 prob topology
